lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	91.8	85.7	76.0	20.7	41.0	73.4	34.2	70.6
en-de	51.5	95.2	69.2	15.1	32.4	32.2	28.9	52.5
en-fi	94.5	89.3	77.7	29.7	40.1	NA	44.0	87.0
en-fr	58.3	82.8	74.6	24.2	44.3	63.5	34.2	60.8
en-lt	99.2	84.6	69.9	25.2	53.4	NA	57.0	79.2
en-ro	83.7	87.8	65.7	19.6	36.4	57.7	35.5	68.3
en-ta	NA	NA	57.6	14.1	50.5	27.3	22.8	54.9
cs-en	27.8	43.9	28.3	7.9	14.8	31.3	16.0	31.3
fr-en	28.5	45.8	32.2	8.8	17.0	25.3	18.2	24.2
lt-en	29.9	52.8	31.4	7.8	18.0	NA	19.1	33.3
ro-en	28.7	44.9	31.1	9.8	15.9	19.1	17.5	34.1
mean	59.4	71.3	55.8	16.6	33.1	41.2	29.8	54.2
