modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	mean	63.5	83.0	68.1	86.4	80.3	95.5	85.5	67.0
xglm-label-trim	mean	83.3	95.3	67.5	94.0	90.8	98.5	96.2	65.8
xglm-keywords10-seen500-trim	mean	90.9	97.3	81.8	94.7	93.4	98.8	97.8	NA
xglm-topic3shot-seen500-trim	mean	97.1	99.0	91.7	95.8	97.0	99.5	98.5	NA
xglm-rand-label-trim	mean	81.6	93.9	72.1	92.8	90.1	98.4	95.6	70.1
verbose-base-trim	mean	95.5	97.4	89.7	94.9	96.9	98.4	97.8	90.5
xglm-keywords30-seen500-trim	mean	90.6	97.2	81.5	94.7	93.3	98.8	97.5	NA
xglm-rand-keywords10-seen500-trim	mean	89.1	96.9	80.7	95.2	93.7	98.8	97.9	NA
xglm-rand-keywords10-seen-all-trim	mean	88.0	96.8	80.8	95.1	93.6	98.8	97.8	NA
xglm-rand-topic3shot-seen500-trim	mean	97.1	99.0	91.7	95.8	97.0	99.5	98.5	NA
xglm-rand-3shot-seen-all-trim	mean	49.6	56.0	48.7	58.5	56.6	60.0	59.6	NA
xglm-bm25-3shot-seen-all-trim	mean	46.1	53.5	44.5	51.5	50.9	56.1	55.3	NA
xglm-sentsim-3shot-seen-all-trim	mean	45.5	55.0	49.5	55.5	55.0	60.1	58.5	NA
xglm-topic1shot-seen500-trim	mean	94.1	98.6	90.7	94.9	95.8	99.1	97.8	NA
xglm-topic5shot-seen500-trim	mean	97.2	99.2	91.5	96.2	97.3	99.5	98.8	NA
xglm-topic3shot-seen200-trim	mean	96.6	98.5	90.9	95.9	97.2	99.5	98.5	90.9
xglm-topic3shot-seen1000-trim	mean	96.9	99.1	91.8	96.1	97.4	99.5	98.1	NA
xglm-bm25-3shot-langs-trim	mean	98.2	99.4	94.1	96.6	98.3	99.8	99.4	NA
xglm-sentsim-3shot-langs-trim	mean	98.0	99.5	93.8	96.9	98.2	99.6	99.2	NA
xglm-topic3shot-lang500-trim	mean	97.4	99.2	92.6	96.8	98.2	99.5	99.2	NA
xglm-topic3shot-domain200-trim	mean	96.4	98.9	91.5	96.2	96.7	99.3	98.9	NA
xglm-domain3shot-all-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	mean	97.3	99.0	92.2	96.5	98.1	99.2	99.1	NA
xglm-rand-topic3shot-seen200-trim	mean	96.2	98.4	90.6	95.9	96.8	99.2	98.6	89.8
