lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	70.6	87.2	72.4	78.4	85.0	91.4	84.6	NA
en-de	77.6	93.6	76.6	92.2	89.6	92.8	92.6	NA
en-fi	71.4	77.2	73.6	81.4	84.6	NA	90.8	NA
en-fr	81.0	94.4	79.6	87.6	89.2	93.8	92.4	NA
en-lt	70.8	86.8	76.0	83.4	82.2	NA	86.2	NA
en-ro	80.8	94.4	75.2	88.8	90.2	95.2	94.4	NA
en-ta	NA	NA	80.2	90.8	72.8	90.4	93.4	NA
cs-en	1.0	5.4	3.2	2.4	1.8	7.0	2.6	NA
fr-en	1.0	7.0	4.0	3.2	5.8	5.4	4.2	NA
lt-en	0.6	1.0	2.0	1.4	1.2	NA	0.6	NA
ro-en	0.4	3.2	1.8	0.4	3.0	4.8	1.4	NA
mean	45.5	55.0	49.5	55.5	55.0	60.1	58.5	NA
