modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base	en-cs	49.8	52.4	43.6	62.3	60.3	47.0	65.2	50.7
xglm-label	en-cs	67.4	72.2	59.6	66.4	65.1	62.4	71.2	58.7
xglm-keywords10-seen500	en-cs	69.5	68.7	53.5	65.7	67.1	58.4	73.1	NA
xglm-topic3shot-seen500	en-cs	75.3	80.9	71.0	67.7	70.4	65.4	73.7	NA
xglm-rand-label	en-cs	66.2	71.0	57.8	65.9	65.4	63.4	70.9	59.2
verbose-base	en-cs	73.8	78.6	66.1	64.4	69.1	64.3	73.3	68.1
xglm-keywords30-seen500	en-cs	68.2	67.2	50.2	65.2	65.9	55.7	72.7	NA
xglm-rand-keywords10-seen500	en-cs	67.3	68.1	51.9	66.3	66.3	56.4	72.3	NA
xglm-rand-keywords10-seen-all	en-cs	67.8	67.7	54.3	66.9	66.6	58.1	73.5	NA
xglm-rand-topic3shot-seen500	en-cs	75.3	81.0	70.9	67.7	70.4	65.4	73.7	NA
xglm-rand-3shot-seen-all	en-cs	74.0	79.4	68.2	67.4	70.0	64.3	72.8	NA
xglm-bm25-3shot-seen-all	en-cs	69.1	71.1	65.5	63.5	66.6	61.3	68.7	NA
xglm-sentsim-3shot-seen-all	en-cs	71.7	78.1	68.1	66.4	69.3	63.6	71.4	NA
xglm-topic1shot-seen500	en-cs	71.9	77.8	66.9	65.2	68.3	63.6	72.6	NA
xglm-topic5shot-seen500	en-cs	75.5	81.4	71.6	68.0	71.0	65.9	74.4	NA
xglm-topic3shot-seen200	en-cs	75.3	68.8	69.2	67.8	69.7	66.0	73.0	69.5
xglm-topic3shot-seen1000	en-cs	76.2	81.5	70.5	67.5	69.8	65.3	74.2	NA
xglm-bm25-3shot-langs	en-cs	80.8	84.3	73.5	69.1	72.9	71.4	75.8	NA
xglm-sentsim-3shot-langs	en-cs	79.8	84.2	73.5	68.9	73.2	69.5	75.7	NA
xglm-topic3shot-lang500	en-cs	77.7	83.1	72.0	68.1	72.0	65.3	75.4	NA
xglm-topic3shot-domain200	en-cs	75.5	81.0	68.7	68.3	70.2	64.4	74.7	NA
xglm-domain3shot-all	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs	en-cs	76.5	81.9	72.0	68.8	71.7	65.8	75.0	NA
