lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	80.6	85.3	81.2	74.0	75.8	67.1	78.6	NA
en-de	79.1	82.4	78.4	76.0	77.1	71.3	81.1	NA
en-fi	79.6	82.1	79.2	76.1	78.9	NA	82.0	NA
en-fr	80.8	85.5	77.5	75.9	78.1	70.1	82.1	NA
en-lt	49.2	46.0	64.9	52.4	45.7	NA	44.9	NA
en-ro	79.7	86.0	78.1	76.5	77.4	69.5	81.9	NA
en-ta	NA	NA	53.0	48.0	37.3	30.3	39.4	NA
cs-en	84.6	84.3	82.3	78.0	79.5	NA	82.6	NA
fr-en	83.9	86.3	81.9	79.4	82.0	NA	85.5	NA
lt-en	70.0	69.4	66.5	56.7	59.7	NA	62.3	NA
ro-en	83.2	85.5	81.4	79.7	80.7	NA	85.3	NA
mean	77.1	79.3	74.9	70.2	70.2	61.7	73.2	NA
