lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	18.0	22.9	24.0	12.5	12.4	4.5	15.2	NA
en-de	26.3	26.8	21.7	18.5	23.7	12.8	23.4	NA
en-fi	13.2	11.5	21.6	6.9	12.4	NA	13.2	NA
en-fr	32.2	36.7	35.4	24.2	29.9	14.0	31.8	NA
en-lt	7.1	6.1	8.8	1.1	1.0	NA	1.7	NA
en-ro	24.5	26.3	23.3	14.2	18.4	5.7	21.8	NA
en-ta	NA	NA	1.3	1.0	1.2	0.4	0.3	NA
cs-en	39.8	39.6	33.5	27.3	28.1	15.0	29.9	NA
fr-en	41.9	47.3	40.1	30.0	36.4	18.4	36.7	NA
lt-en	19.1	20.5	13.5	7.3	9.7	NA	11.3	NA
ro-en	42.7	45.5	35.5	32.8	32.8	13.8	36.9	NA
mean	26.5	28.3	23.5	16.0	18.7	10.6	20.2	NA
