lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	8.2	10.0	2.0	6.8	6.8	2.4	12.7	4.2
en-de	10.1	11.3	3.7	11.4	12.8	6.5	19.8	5.5
en-fi	4.5	3.5	1.8	4.0	6.5	NA	11.1	2.9
en-fr	12.8	14.7	7.4	10.3	13.5	4.6	24.5	7.2
en-lt	2.2	2.7	0.8	0.5	0.8	NA	1.2	1.7
en-ro	10.6	11.5	2.4	10.4	13.3	2.8	18.4	6.7
en-ta	NA	NA	0.3	0.5	1.1	0.0	0.1	0.9
cs-en	17.5	20.1	3.5	14.2	19.4	NA	20.9	NA
fr-en	14.0	21.3	9.1	7.8	20.0	NA	18.7	NA
lt-en	6.6	8.6	1.5	1.9	5.1	NA	7.0	NA
ro-en	15.9	21.6	3.7	12.4	17.8	NA	20.1	NA
mean	10.2	12.5	3.3	7.3	10.6	3.3	14.0	4.2
