modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-fi	17.3	19.5	6.5	7.2	11.8	NA	14.3	15.3
xglm-label-trim	en-fi	13.6	17.0	5.8	7.1	11.2	NA	12.1	14.4
xglm-keywords10-seen500-trim	en-fi	14.0	19.0	6.7	7.1	10.8	NA	12.3	NA
xglm-topic3shot-seen500-trim	en-fi	12.8	17.8	5.2	6.5	11.0	NA	12.1	NA
xglm-rand-label-trim	en-fi	13.8	17.9	5.6	7.0	11.3	NA	12.5	13.6
verbose-base-trim	en-fi	13.6	19.0	5.8	7.4	11.2	NA	12.6	13.6
xglm-keywords30-seen500-trim	en-fi	13.2	19.6	8.0	7.1	11.2	NA	12.4	NA
xglm-rand-keywords10-seen500-trim	en-fi	13.5	18.7	6.4	7.1	11.0	NA	12.3	NA
xglm-rand-keywords10-seen-all-trim	en-fi	13.4	19.3	5.8	7.4	10.9	NA	12.0	NA
xglm-rand-topic3shot-seen500-trim	en-fi	12.9	17.7	5.2	6.5	11.0	NA	12.1	NA
xglm-rand-3shot-seen-all-trim	en-fi	13.5	19.3	5.7	6.8	11.0	NA	12.7	NA
xglm-bm25-3shot-seen-all-trim	en-fi	13.9	19.2	5.6	7.0	11.9	NA	12.9	NA
xglm-sentsim-3shot-seen-all-trim	en-fi	13.8	20.5	5.6	7.2	10.9	NA	12.7	NA
xglm-topic1shot-seen500-trim	en-fi	12.0	18.0	5.4	7.2	10.3	NA	12.1	NA
xglm-topic5shot-seen500-trim	en-fi	12.7	17.8	5.3	6.6	10.7	NA	12.6	NA
xglm-topic3shot-seen200-trim	en-fi	12.5	17.7	5.2	6.9	10.3	NA	12.8	13.2
xglm-topic3shot-seen1000-trim	en-fi	12.5	17.8	5.4	7.1	11.0	NA	12.4	NA
xglm-bm25-3shot-langs-trim	en-fi	12.8	17.8	5.2	6.1	10.0	NA	11.9	NA
xglm-sentsim-3shot-langs-trim	en-fi	13.0	17.5	5.4	6.9	10.1	NA	12.3	NA
xglm-topic3shot-lang500-trim	en-fi	12.8	18.6	5.3	7.0	9.9	NA	12.0	NA
xglm-topic3shot-domain200-trim	en-fi	12.6	18.3	5.2	7.1	11.3	NA	12.4	NA
xglm-domain3shot-all-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-fi	12.5	17.9	5.2	6.6	10.2	NA	12.1	NA
xglm-rand-topic3shot-seen200-trim	en-fi	12.9	17.9	5.6	6.8	10.7	NA	12.4	13.1
