lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	74.6	83.4	51.4	87.8	86.8	87.4	96.8	NA
en-de	75.6	74.8	57.8	97.8	94.0	83.2	98.6	NA
en-fi	62.6	74.6	40.6	88.8	84.6	NA	96.8	NA
en-fr	74.0	64.6	45.6	90.4	86.6	69.2	97.0	NA
en-lt	67.4	81.2	58.8	90.2	87.2	NA	92.8	NA
en-ro	77.0	82.8	51.0	92.4	93.4	88.6	97.6	NA
en-ta	NA	NA	67.4	93.4	70.4	96.6	95.6	NA
cs-en	93.0	85.2	77.2	97.6	98.2	94.6	99.8	NA
fr-en	92.6	90.0	86.4	98.0	97.8	93.2	98.6	NA
lt-en	89.6	89.8	73.2	95.8	94.8	NA	96.8	NA
ro-en	96.0	93.0	79.8	98.4	98.8	96.6	99.2	NA
mean	80.2	81.9	62.7	93.7	90.2	88.7	97.2	NA
