lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	80.8	84.3	73.5	69.1	72.9	71.4	75.8	NA
en-de	76.8	80.9	71.3	70.5	72.8	71.6	76.9	NA
en-fi	79.3	84.1	71.9	71.8	76.4	NA	79.2	NA
en-fr	78.1	83.7	72.2	71.3	74.3	74.1	78.8	NA
en-lt	62.0	55.3	63.1	53.1	52.0	NA	50.3	NA
en-ro	79.2	84.4	70.7	71.3	73.9	72.8	78.4	NA
en-ta	NA	NA	56.0	54.8	53.0	61.1	48.7	NA
cs-en	79.6	81.4	71.7	71.9	75.2	67.5	78.6	NA
fr-en	79.2	83.1	74.6	73.8	77.1	70.1	81.2	NA
lt-en	72.1	72.5	63.4	58.0	62.5	NA	65.3	NA
ro-en	78.8	82.8	70.7	74.6	76.8	67.4	81.3	NA
mean	76.6	79.2	69.0	67.3	69.7	69.5	72.2	NA
