lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	77.5	82.0	74.3	73.3	74.0	66.3	76.1	76.0
en-de	76.5	81.2	73.7	75.9	77.1	70.1	80.3	84.1
en-fi	74.5	79.2	71.8	75.3	77.9	NA	80.5	74.5
en-fr	79.4	84.3	75.0	75.2	77.6	69.9	81.2	85.9
en-lt	47.4	45.0	59.2	52.2	45.4	NA	44.0	57.3
en-ro	76.0	84.4	72.4	75.4	76.7	66.8	80.2	77.9
en-ta	NA	NA	45.3	48.0	38.3	29.8	39.2	41.9
cs-en	83.3	82.6	78.5	76.9	78.7	66.3	81.7	NA
fr-en	83.1	85.1	79.3	79.5	81.6	72.9	84.9	NA
lt-en	63.8	63.6	59.2	53.9	56.6	NA	59.3	NA
ro-en	82.4	84.1	77.6	78.9	80.5	65.8	84.2	NA
mean	74.4	77.2	69.7	69.5	69.5	63.5	72.0	71.1
