lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	81.0	84.8	80.7	73.5	75.0	66.7	77.3	NA
en-de	79.0	82.0	78.0	76.1	77.2	70.2	80.2	NA
en-fi	79.3	81.4	78.5	76.5	79.0	NA	81.2	NA
en-fr	80.5	85.5	77.3	76.3	78.0	70.4	81.7	NA
en-lt	49.4	47.0	64.8	52.2	45.8	NA	44.1	NA
en-ro	79.4	85.5	77.9	76.8	77.1	68.5	81.3	NA
en-ta	NA	NA	51.0	49.0	36.8	31.2	39.1	NA
cs-en	83.2	83.5	81.0	78.0	79.5	NA	81.9	NA
fr-en	83.4	85.4	80.5	79.5	81.8	NA	85.3	NA
lt-en	65.8	66.5	63.0	56.9	58.6	NA	60.7	NA
ro-en	82.3	84.6	79.9	79.6	80.5	NA	84.9	NA
mean	76.3	78.6	73.9	70.4	69.9	61.4	72.5	NA
