lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.5	24.4	6.3	7.0	12.0	16.7	14.9	NA
en-de	15.6	27.1	11.3	7.9	14.0	17.1	16.8	NA
en-fi	13.8	20.5	5.6	7.2	10.9	NA	12.7	NA
en-fr	18.0	28.8	14.6	8.6	15.7	17.5	18.0	NA
en-lt	16.3	28.4	5.7	7.6	18.6	NA	21.7	NA
en-ro	17.7	27.8	7.0	7.9	14.3	17.2	16.3	NA
en-ta	NA	NA	7.1	10.1	23.1	20.0	18.2	NA
cs-en	16.2	24.9	6.4	6.5	11.1	18.7	13.8	NA
fr-en	19.1	30.1	15.6	8.1	15.2	16.7	17.6	NA
lt-en	14.0	21.2	5.7	5.1	11.5	NA	12.4	NA
ro-en	18.7	27.4	7.2	7.7	13.9	16.2	15.5	NA
mean	16.5	26.1	8.4	7.6	14.6	17.5	16.2	NA
