modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	lt-en	91.2	94.8	89.4	94.6	96.4	NA	96.0	79.4
xglm-label-trim	lt-en	91.4	96.8	83.6	94.6	96.8	NA	98.2	NA
xglm-keywords10-seen500-trim	lt-en	90.8	96.2	83.8	94.8	97.4	NA	98.0	NA
xglm-topic3shot-seen500-trim	lt-en	96.4	98.6	90.0	95.8	98.0	NA	98.6	NA
xglm-rand-label-trim	lt-en	93.0	95.6	85.4	94.6	96.8	NA	97.4	NA
verbose-base-trim	lt-en	92.8	95.8	84.8	95.6	96.8	NA	96.2	NA
xglm-keywords30-seen500-trim	lt-en	89.0	95.4	81.8	95.2	97.8	NA	97.6	NA
xglm-rand-keywords10-seen500-trim	lt-en	93.4	94.8	85.2	96.0	96.2	NA	98.2	NA
xglm-rand-keywords10-seen-all-trim	lt-en	92.4	95.2	84.8	96.0	96.4	NA	97.2	NA
xglm-rand-topic3shot-seen500-trim	lt-en	96.4	98.6	90.0	95.8	98.0	NA	98.6	NA
xglm-rand-3shot-seen-all-trim	lt-en	1.0	0.4	2.4	4.0	1.0	NA	1.2	NA
xglm-bm25-3shot-seen-all-trim	lt-en	0.4	0.2	1.0	0.6	0.4	NA	1.0	NA
xglm-sentsim-3shot-seen-all-trim	lt-en	0.6	1.0	2.0	1.4	1.2	NA	0.6	NA
xglm-topic1shot-seen500-trim	lt-en	92.2	97.4	90.6	97.8	97.4	NA	99.0	NA
xglm-topic5shot-seen500-trim	lt-en	97.0	97.8	87.0	95.6	97.6	NA	99.0	NA
xglm-topic3shot-seen200-trim	lt-en	95.8	98.6	91.0	95.4	98.0	NA	97.6	87.4
xglm-topic3shot-seen1000-trim	lt-en	96.8	98.8	89.2	95.8	98.2	NA	98.2	NA
xglm-bm25-3shot-langs-trim	lt-en	97.4	99.2	91.4	94.8	98.8	NA	98.8	NA
xglm-sentsim-3shot-langs-trim	lt-en	98.8	98.6	91.0	97.2	99.6	NA	99.4	NA
xglm-topic3shot-lang500-trim	lt-en	96.4	98.4	89.4	95.2	98.6	NA	99.2	NA
xglm-topic3shot-domain200-trim	lt-en	96.6	98.6	85.6	96.4	97.6	NA	98.8	NA
xglm-domain3shot-all-trim	lt-en	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	lt-en	96.0	98.2	89.8	96.2	98.4	NA	98.0	NA
xglm-rand-topic3shot-seen200-trim	lt-en	93.2	95.2	90.4	94.8	97.2	NA	97.6	NA
