lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	11.2	12.7	10.9	8.3	9.1	3.1	9.5	NA
en-de	18.3	15.0	17.8	15.4	18.5	9.0	19.6	NA
en-fi	8.5	4.0	12.2	5.0	7.1	NA	10.0	NA
en-fr	22.9	22.0	32.8	19.0	24.5	8.7	25.9	NA
en-lt	4.5	3.9	6.4	0.6	1.2	NA	1.4	NA
en-ro	19.6	18.9	19.2	12.7	14.9	4.5	19.8	NA
en-ta	NA	NA	1.2	0.8	1.2	0.0	0.2	NA
cs-en	5.6	3.5	7.8	1.7	1.1	0.1	1.4	NA
fr-en	5.8	5.2	6.5	1.9	2.0	0.1	1.6	NA
lt-en	4.5	3.6	5.1	1.0	0.9	NA	0.9	NA
ro-en	5.2	4.3	5.7	3.5	2.1	0.1	2.0	NA
mean	10.6	9.3	11.4	6.4	7.5	3.2	8.4	NA
