lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	78.3	83.1	77.8	73.1	74.3	65.3	76.0	NA
en-de	77.0	80.5	75.2	75.3	76.7	69.8	79.4	NA
en-fi	76.4	77.8	76.7	75.0	78.2	NA	80.5	NA
en-fr	80.0	84.5	76.0	75.2	76.8	69.5	81.0	NA
en-lt	50.7	47.3	63.9	52.6	47.6	NA	45.7	NA
en-ro	78.1	84.9	75.7	76.2	76.9	68.1	80.4	NA
en-ta	NA	NA	51.5	48.7	39.5	31.2	39.7	NA
cs-en	76.4	73.7	74.3	74.0	71.8	57.8	75.2	NA
fr-en	76.2	77.1	71.7	73.0	73.2	65.7	77.1	NA
lt-en	70.9	71.6	69.7	69.1	68.1	NA	72.3	NA
ro-en	74.6	75.0	73.6	74.2	73.0	61.4	76.7	NA
mean	73.9	75.6	71.5	69.7	68.7	61.1	71.3	NA
