lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	67.4	72.2	59.6	66.4	65.1	62.4	71.2	58.7
en-de	68.7	71.6	61.9	70.2	71.7	66.5	76.0	69.7
en-fi	65.6	68.8	58.4	69.3	70.9	NA	74.7	57.6
en-fr	70.4	75.6	62.9	70.7	71.6	63.5	78.3	69.3
en-lt	45.4	42.3	49.0	47.5	43.9	NA	42.4	48.8
en-ro	65.9	76.9	58.3	68.9	70.5	63.7	75.8	63.7
en-ta	NA	NA	41.0	45.6	37.6	31.7	39.3	39.5
cs-en	78.0	78.4	67.9	71.8	73.9	66.0	77.7	NA
fr-en	77.1	81.4	70.6	73.8	76.7	70.9	81.1	NA
lt-en	61.3	62.6	53.5	51.4	55.7	NA	57.9	NA
ro-en	76.7	80.6	67.3	73.9	76.1	66.2	80.2	NA
mean	67.7	71.0	59.1	64.5	64.9	61.4	68.6	58.2
