lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	77.1	81.5	71.2	67.9	71.2	68.8	74.2	NA
en-de	75.4	79.0	69.8	70.5	73.3	71.5	77.3	NA
en-fi	75.9	82.6	69.0	71.0	75.1	NA	78.3	NA
en-fr	76.8	82.3	71.1	71.3	74.0	73.0	79.0	NA
en-lt	51.0	NA	56.9	49.7	47.9	NA	47.1	NA
en-ro	75.7	82.9	68.1	69.8	73.6	69.9	77.7	NA
en-ta	NA	NA	48.1	47.6	NA	32.9	39.6	NA
cs-en	80.2	81.5	71.9	71.7	NA	NA	79.1	NA
fr-en	79.1	83.2	73.9	73.5	77.5	NA	81.5	NA
lt-en	72.3	NA	62.4	60.3	63.7	NA	66.7	NA
ro-en	79.4	83.0	70.7	74.2	77.1	NA	81.4	NA
mean	74.3	82.0	66.6	66.1	70.4	63.2	71.1	NA
