modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-lt	4.0	3.2	4.4	1.1	0.9	NA	0.9	4.3
xglm-label-trim	en-lt	4.2	4.2	5.3	1.1	0.9	NA	1.2	5.6
xglm-keywords10-seen500-trim	en-lt	3.4	4.3	5.4	1.0	0.9	NA	1.3	NA
xglm-topic3shot-seen500-trim	en-lt	5.2	4.9	7.8	1.2	1.3	NA	1.7	NA
xglm-rand-label-trim	en-lt	4.3	4.2	5.2	0.7	0.9	NA	1.4	6.1
verbose-base-trim	en-lt	3.9	4.2	5.0	0.8	1.1	NA	1.2	6.0
xglm-keywords30-seen500-trim	en-lt	3.6	3.9	4.0	0.7	0.9	NA	1.1	NA
xglm-rand-keywords10-seen500-trim	en-lt	3.9	4.2	5.7	1.2	1.1	NA	1.3	NA
xglm-rand-keywords10-seen-all-trim	en-lt	2.9	3.9	4.7	1.1	1.1	NA	1.5	NA
xglm-rand-topic3shot-seen500-trim	en-lt	5.1	5.0	7.6	1.2	1.3	NA	1.7	NA
xglm-rand-3shot-seen-all-trim	en-lt	4.9	4.8	7.8	1.1	1.3	NA	1.8	NA
xglm-bm25-3shot-seen-all-trim	en-lt	4.9	4.4	6.9	0.7	1.3	NA	1.5	NA
xglm-sentsim-3shot-seen-all-trim	en-lt	6.9	7.5	12.4	1.9	1.3	NA	1.4	NA
xglm-topic1shot-seen500-trim	en-lt	4.8	4.9	6.6	0.8	1.0	NA	1.1	NA
xglm-topic5shot-seen500-trim	en-lt	5.4	5.4	7.1	1.0	1.1	NA	1.6	NA
xglm-topic3shot-seen200-trim	en-lt	6.3	6.1	6.9	1.3	1.1	NA	1.3	6.8
xglm-topic3shot-seen1000-trim	en-lt	5.4	5.3	6.7	1.0	1.2	NA	1.2	NA
xglm-bm25-3shot-langs-trim	en-lt	15.8	14.0	18.8	2.7	6.5	NA	7.4	NA
xglm-sentsim-3shot-langs-trim	en-lt	12.4	12.3	17.4	2.5	5.7	NA	6.2	NA
xglm-topic3shot-lang500-trim	en-lt	6.0	7.6	8.5	1.5	1.5	NA	1.8	NA
xglm-topic3shot-domain200-trim	en-lt	7.1	6.1	8.8	1.1	1.0	NA	1.7	NA
xglm-domain3shot-all-trim	en-lt	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-lt	5.8	5.2	8.5	1.3	1.3	NA	1.9	NA
xglm-rand-topic3shot-seen200-trim	en-lt	4.6	4.5	5.1	1.0	1.1	NA	1.4	6.3
