modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	cs-en	96.6	97.8	94.0	98.0	99.2	99.4	99.6	91.2
xglm-label-trim	cs-en	97.6	98.6	89.4	98.2	99.6	100.0	99.6	NA
xglm-keywords10-seen500-trim	cs-en	96.8	98.6	88.8	98.0	99.6	99.8	99.8	NA
xglm-topic3shot-seen500-trim	cs-en	98.4	99.4	94.4	98.2	99.4	100.0	99.6	NA
xglm-rand-label-trim	cs-en	97.6	99.0	92.8	97.6	99.6	99.8	99.6	NA
verbose-base-trim	cs-en	97.8	97.4	92.0	97.8	99.4	99.2	99.8	NA
xglm-keywords30-seen500-trim	cs-en	96.4	97.0	87.6	98.2	99.6	99.6	99.8	NA
xglm-rand-keywords10-seen500-trim	cs-en	97.6	98.4	91.4	97.8	99.2	99.8	99.8	NA
xglm-rand-keywords10-seen-all-trim	cs-en	97.6	98.8	91.2	97.8	99.4	99.4	99.8	NA
xglm-rand-topic3shot-seen500-trim	cs-en	98.4	99.4	94.4	98.0	99.4	100.0	99.6	NA
xglm-rand-3shot-seen-all-trim	cs-en	0.6	4.2	5.2	4.8	2.6	0.6	2.2	NA
xglm-bm25-3shot-seen-all-trim	cs-en	0.4	0.2	0.6	0.2	0.2	0.0	0.4	NA
xglm-sentsim-3shot-seen-all-trim	cs-en	1.0	5.4	3.2	2.4	1.8	7.0	2.6	NA
xglm-topic1shot-seen500-trim	cs-en	97.2	99.0	94.8	98.0	99.6	99.8	99.4	NA
xglm-topic5shot-seen500-trim	cs-en	98.2	99.4	95.4	98.2	99.2	100.0	99.8	NA
xglm-topic3shot-seen200-trim	cs-en	98.0	99.6	94.0	97.8	99.8	100.0	100.0	93.2
xglm-topic3shot-seen1000-trim	cs-en	98.0	99.4	94.6	98.6	99.4	99.8	99.8	NA
xglm-bm25-3shot-langs-trim	cs-en	98.4	99.8	94.2	97.8	99.8	100.0	100.0	NA
xglm-sentsim-3shot-langs-trim	cs-en	98.4	99.6	95.6	97.6	99.8	100.0	99.6	NA
xglm-topic3shot-lang500-trim	cs-en	97.4	99.6	95.0	98.2	99.4	99.8	99.6	NA
xglm-topic3shot-domain200-trim	cs-en	97.8	99.4	93.8	98.6	99.8	99.8	99.6	NA
xglm-domain3shot-all-trim	cs-en	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	cs-en	97.6	99.2	94.2	97.4	99.6	NA	99.6	NA
xglm-rand-topic3shot-seen200-trim	cs-en	96.8	99.4	94.6	97.6	99.6	NA	99.6	NA
