lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	7.1	9.4	2.3	6.4	6.4	1.8	12.8	NA
en-de	9.5	11.4	3.8	13.9	14.8	5.8	21.2	NA
en-fi	4.7	3.1	1.8	4.2	5.5	NA	13.0	NA
en-fr	13.5	15.3	6.8	13.4	14.7	3.9	27.2	NA
en-lt	1.8	2.5	0.8	0.8	0.9	NA	1.4	NA
en-ro	9.3	10.6	2.1	12.6	12.8	2.5	18.6	NA
en-ta	NA	NA	0.1	0.5	0.8	0.0	0.2	NA
cs-en	18.4	21.1	4.7	22.3	24.3	5.2	27.8	NA
fr-en	21.4	23.1	13.6	20.6	26.5	9.1	32.6	NA
lt-en	8.0	8.5	1.6	5.0	5.6	NA	8.3	NA
ro-en	23.3	24.2	4.8	29.0	26.1	6.0	32.9	NA
mean	11.7	12.9	3.9	11.7	12.6	4.3	17.8	NA
