lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	77.5	82.2	72.5	68.7	72.2	65.1	75.7	NA
en-de	74.7	79.4	70.5	70.3	73.2	69.8	77.4	NA
en-fi	76.3	79.4	69.8	71.3	75.7	NA	79.2	NA
en-fr	77.1	82.4	71.5	71.6	74.5	70.4	79.5	NA
en-lt	47.2	46.5	57.4	47.9	45.2	NA	44.0	NA
en-ro	76.6	83.4	68.9	71.7	73.7	68.4	78.3	NA
en-ta	NA	NA	48.6	46.0	41.0	35.5	40.6	NA
cs-en	79.5	81.0	70.9	72.7	75.2	NA	78.9	NA
fr-en	78.7	82.7	73.0	74.4	77.1	NA	81.7	NA
lt-en	67.6	68.5	59.1	56.8	60.3	NA	63.0	NA
ro-en	78.6	82.1	69.9	75.2	77.0	NA	81.4	NA
mean	73.4	76.8	66.6	66.1	67.7	61.8	70.9	NA
