lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	76.3	80.8	71.5	66.7	70.6	65.0	73.6	NA
en-de	74.1	79.4	69.7	69.6	72.6	68.2	76.6	NA
en-fi	75.8	77.4	69.1	69.8	74.3	NA	78.2	NA
en-fr	76.8	81.9	70.2	71.2	73.7	69.0	79.0	NA
en-lt	46.8	44.2	56.6	47.7	43.3	NA	43.5	NA
en-ro	75.8	81.6	68.4	70.0	72.7	66.2	77.6	NA
en-ta	NA	NA	47.6	46.6	37.4	33.5	40.5	NA
cs-en	78.8	80.9	70.1	72.0	74.2	65.1	77.8	NA
fr-en	78.2	82.7	72.5	73.8	77.0	70.9	81.0	NA
lt-en	65.5	68.1	57.6	53.8	55.9	NA	57.9	NA
ro-en	77.8	82.4	70.1	74.0	76.3	64.6	80.3	NA
mean	72.6	75.9	65.8	65.0	66.2	62.8	69.6	NA
