lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.7	26.4	6.7	8.7	13.4	17.7	14.9	13.9
en-de	15.9	28.1	11.3	8.2	14.2	17.6	16.8	11.4
en-fi	13.8	19.0	5.8	7.4	11.2	NA	12.6	13.6
en-fr	19.1	30.0	14.9	9.2	16.6	18.4	18.9	12.8
en-lt	19.7	33.5	6.7	11.1	25.0	NA	27.4	15.0
en-ro	18.1	27.7	7.3	8.1	14.6	17.5	16.7	17.6
en-ta	NA	NA	9.4	14.0	24.4	22.4	21.1	18.4
cs-en	26.4	40.2	11.7	11.5	19.3	30.4	22.4	NA
fr-en	17.3	29.7	15.1	7.9	14.3	17.7	16.5	NA
lt-en	20.6	35.3	8.2	7.2	16.9	NA	18.4	NA
ro-en	18.5	30.3	7.8	8.2	14.8	17.7	16.4	NA
mean	18.6	30.0	9.5	9.2	16.8	19.9	18.4	14.7
