lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	97.6	99.4	91.6	93.8	96.8	98.6	98.4	NA
en-de	98.0	100.0	93.6	98.8	98.8	99.2	99.8	NA
en-fi	97.8	98.8	90.2	97.0	97.6	NA	99.0	NA
en-fr	96.6	99.4	92.8	96.0	96.8	99.6	99.0	NA
en-lt	96.2	97.8	91.0	95.0	97.4	NA	97.8	NA
en-ro	97.8	99.6	90.4	94.8	97.2	99.6	99.6	NA
en-ta	NA	NA	96.2	98.4	99.8	99.4	99.6	NA
cs-en	97.6	99.6	94.8	98.2	99.4	99.8	99.6	NA
fr-en	98.4	99.8	96.4	99.4	99.8	100.0	99.8	NA
lt-en	96.4	98.4	89.4	95.2	98.6	NA	99.2	NA
ro-en	98.4	99.8	92.4	98.2	99.0	99.6	99.8	NA
mean	97.5	99.3	92.6	96.8	98.3	99.5	99.2	NA
