lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.3	20.5	20.1	13.0	14.4	4.2	13.3	NA
en-de	23.2	23.9	18.1	18.0	21.3	11.8	23.3	NA
en-fi	11.9	6.9	16.4	7.4	11.7	NA	12.6	NA
en-fr	30.7	33.7	33.2	23.6	28.4	11.6	29.9	NA
en-lt	4.8	4.7	7.4	1.1	1.3	NA	1.8	NA
en-ro	20.9	23.9	20.9	15.9	18.4	5.1	20.8	NA
en-ta	NA	NA	1.3	1.0	0.9	0.0	0.2	NA
cs-en	5.7	6.3	8.6	3.4	1.9	0.2	1.4	NA
fr-en	6.4	6.6	7.2	3.7	2.8	0.5	2.7	NA
lt-en	4.5	3.5	5.1	0.8	1.2	NA	0.9	NA
ro-en	5.8	5.5	6.9	2.3	2.6	0.1	2.8	NA
mean	13.0	13.6	13.2	8.2	9.5	4.2	10.0	NA
