lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	68.8	83.4	54.8	87.0	81.8	95.2	93.4	55.0
en-de	77.2	83.0	65.4	96.8	94.4	93.2	97.6	73.2
en-fi	55.6	79.0	45.6	86.0	84.6	NA	91.8	45.6
en-fr	77.6	82.0	59.4	90.8	89.6	89.0	97.6	68.2
en-lt	49.0	77.4	46.8	83.6	82.2	NA	82.8	51.0
en-ro	74.0	85.2	52.0	87.6	91.4	94.8	97.6	64.2
en-ta	NA	NA	53.4	94.2	60.2	96.4	93.0	73.8
cs-en	96.2	96.8	91.0	97.6	99.4	99.6	99.6	NA
fr-en	96.4	97.8	92.0	99.0	99.2	99.8	99.6	NA
lt-en	92.0	94.6	85.4	94.6	96.4	NA	97.4	NA
ro-en	96.2	98.0	85.8	98.2	99.2	99.6	99.8	NA
mean	78.3	87.7	66.5	92.3	88.9	96.0	95.5	61.6
