lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	80.9	85.0	81.2	74.9	76.2	66.7	78.4	NA
en-de	79.5	82.2	77.5	76.2	77.6	70.6	81.0	NA
en-fi	80.7	81.0	78.8	76.9	79.8	NA	82.3	NA
en-fr	81.3	85.4	77.6	76.2	78.1	70.7	81.8	NA
en-lt	50.3	46.8	65.8	52.0	46.1	NA	45.1	NA
en-ro	80.4	86.0	78.2	78.0	78.0	69.1	82.1	NA
en-ta	NA	NA	51.3	48.0	38.0	31.2	38.3	NA
cs-en	83.4	83.5	81.3	78.3	79.9	NA	82.4	NA
fr-en	83.4	85.6	81.2	79.7	82.2	NA	85.5	NA
lt-en	67.8	68.4	64.8	59.4	61.5	NA	63.9	NA
ro-en	82.8	84.5	80.5	80.6	81.2	NA	84.9	NA
mean	77.0	78.8	74.4	70.9	70.8	61.7	73.2	NA
