lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	18.1	22.4	24.5	12.2	13.3	4.2	15.3	NA
en-de	25.9	27.1	21.7	19.0	23.4	12.0	23.9	NA
en-fi	13.1	9.4	20.9	7.6	13.4	NA	13.4	NA
en-fr	32.0	36.6	35.2	23.8	29.1	12.6	30.7	NA
en-lt	5.1	5.0	7.6	1.2	1.3	NA	1.7	NA
en-ro	24.9	26.4	23.5	15.5	17.1	5.5	21.4	NA
en-ta	NA	NA	1.2	1.0	0.5	0.0	0.3	NA
cs-en	36.8	39.6	32.5	27.4	25.5	10.6	28.0	NA
fr-en	41.7	46.4	39.8	29.7	35.7	16.6	35.5	NA
lt-en	16.5	19.1	13.1	6.7	8.5	NA	9.2	NA
ro-en	41.0	45.2	32.8	31.9	30.9	9.6	35.7	NA
mean	25.5	27.7	23.0	16.0	18.1	8.9	19.6	NA
