lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	14.0	19.0	14.3	11.0	11.9	2.5	13.7	16.4
en-de	19.8	20.7	14.6	13.3	20.0	7.9	20.1	24.8
en-fi	10.8	7.5	9.7	5.3	10.9	NA	13.0	12.2
en-fr	26.5	31.2	26.6	16.0	24.1	6.1	28.7	32.3
en-lt	5.4	4.9	4.7	1.2	1.1	NA	1.5	7.1
en-ro	23.7	23.9	18.8	15.6	17.6	5.1	20.9	22.0
en-ta	NA	NA	0.8	0.9	0.6	0.0	0.2	2.2
cs-en	NA	NA	NA	NA	NA	NA	NA	NA
fr-en	NA	NA	NA	NA	NA	NA	NA	NA
lt-en	NA	NA	NA	NA	NA	NA	NA	NA
ro-en	NA	NA	NA	NA	NA	NA	NA	NA
mean	16.7	17.9	12.8	9.0	12.3	4.3	14.0	16.7
