lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.9	19.8	13.8	12.9	13.9	4.2	15.2	15.4
en-de	22.6	26.4	17.9	18.4	22.2	12.1	22.7	27.5
en-fi	9.7	8.0	13.1	6.9	12.0	NA	13.2	10.3
en-fr	30.4	34.7	32.9	22.5	30.2	13.1	31.4	35.7
en-lt	3.6	4.2	4.7	0.8	1.0	NA	1.3	4.8
en-ro	20.7	23.3	19.7	16.6	17.0	4.8	20.5	21.3
en-ta	NA	NA	0.7	0.6	0.7	0.0	0.1	1.4
cs-en	33.1	35.9	24.9	26.0	26.7	NA	27.7	NA
fr-en	37.2	42.4	34.3	28.3	36.1	NA	35.3	NA
lt-en	12.5	14.3	9.8	5.5	8.7	NA	9.5	NA
ro-en	38.4	40.5	27.5	31.3	31.2	NA	35.5	NA
mean	22.5	25.0	18.1	15.4	18.2	6.8	19.3	16.6
