lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	68.7	69.4	53.9	66.5	67.3	61.0	73.3	56.6
en-de	67.0	65.8	56.1	69.7	70.9	64.2	76.1	62.5
en-fi	65.6	67.8	53.5	69.2	71.5	NA	76.6	56.2
en-fr	67.6	66.3	55.1	68.5	68.6	59.8	77.3	60.2
en-lt	43.5	40.3	45.7	47.1	42.6	NA	43.0	44.8
en-ro	67.1	70.6	53.8	68.9	71.5	62.4	76.2	59.3
en-ta	NA	NA	39.9	44.6	38.4	32.1	39.4	37.2
cs-en	73.3	71.8	56.2	69.8	72.3	NA	75.3	NA
fr-en	68.8	71.8	61.0	67.6	73.1	NA	74.9	NA
lt-en	60.8	59.6	46.3	51.4	55.6	NA	58.9	NA
ro-en	68.5	72.0	57.0	69.5	71.9	NA	74.7	NA
mean	65.1	65.5	52.6	63.0	64.0	55.9	67.8	53.8
