lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	6.4	9.6	2.1	7.4	6.0	NA	11.8	NA
en-de	9.3	11.6	4.0	15.7	16.4	6.7	21.7	NA
en-fi	3.9	3.2	1.6	4.4	5.7	NA	10.2	NA
en-fr	12.6	15.4	NA	16.1	16.5	4.4	28.6	NA
en-lt	2.1	2.7	0.7	0.6	0.6	NA	1.0	NA
en-ro	8.4	NA	NA	NA	NA	NA	NA	NA
en-ta	NA	NA	NA	0.6	NA	0.0	0.1	NA
cs-en	18.8	21.8	5.2	25.3	26.0	NA	27.3	NA
fr-en	20.2	22.3	15.3	24.5	28.6	NA	31.4	NA
lt-en	7.8	10.0	1.9	4.9	7.2	NA	8.3	NA
ro-en	22.4	24.9	5.1	27.9	27.9	NA	32.1	NA
mean	11.2	13.5	4.5	12.7	15.0	3.7	17.2	NA
