lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	95.8	99.2	90.2	93.2	95.8	98.6	98.2	NA
en-de	97.0	98.8	92.8	98.8	98.2	99.0	99.6	NA
en-fi	96.0	96.4	92.2	96.4	96.2	NA	98.4	NA
en-fr	95.8	98.4	90.2	95.6	97.4	99.6	99.0	NA
en-lt	94.4	96.2	91.6	93.8	94.4	NA	96.4	NA
en-ro	96.2	99.6	89.2	93.6	97.6	99.4	99.0	NA
en-ta	NA	NA	94.8	98.4	95.0	98.8	99.6	NA
cs-en	98.2	99.2	95.4	97.4	99.6	NA	99.8	NA
fr-en	98.4	99.4	97.2	99.2	99.4	NA	99.8	NA
lt-en	95.4	97.4	88.6	94.4	98.8	NA	98.4	NA
ro-en	98.2	100.0	91.2	98.0	99.2	NA	100.0	NA
mean	96.5	98.5	92.1	96.3	97.4	99.1	98.9	NA
