lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	77.3	82.4	75.2	73.0	73.8	66.6	77.1	NA
en-de	77.1	81.4	75.9	76.3	77.5	70.2	80.3	NA
en-fi	73.7	78.6	72.9	75.5	77.6	NA	80.4	NA
en-fr	79.6	84.9	75.6	75.7	77.2	70.1	81.8	NA
en-lt	48.3	44.4	60.0	51.0	45.5	NA	44.4	NA
en-ro	76.6	84.3	74.7	76.5	77.7	67.9	81.0	NA
en-ta	NA	NA	45.7	45.8	37.1	30.0	38.4	NA
cs-en	83.2	82.6	78.9	77.7	79.0	66.1	81.6	79.2
fr-en	82.9	84.8	78.6	79.1	81.5	73.3	85.1	87.9
lt-en	68.3	66.6	61.9	56.4	58.9	NA	60.6	67.0
ro-en	82.1	84.2	77.0	79.1	80.3	65.9	84.4	80.4
mean	74.9	77.4	70.6	69.6	69.6	63.8	72.3	78.6
