modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	cs-en	29.7	32.5	21.6	24.5	24.4	10.5	27.0	34.0
xglm-label-trim	cs-en	33.2	37.3	31.4	26.1	26.2	14.8	28.1	NA
xglm-keywords10-seen500-trim	cs-en	32.7	35.9	22.6	26.2	26.3	10.1	27.2	NA
xglm-topic3shot-seen500-trim	cs-en	36.5	39.6	32.5	27.4	25.5	10.6	28.0	NA
xglm-rand-label-trim	cs-en	33.1	35.3	29.1	25.3	25.4	9.6	27.2	NA
verbose-base-trim	cs-en	20.6	25.6	14.5	13.6	16.6	7.3	19.1	NA
xglm-keywords30-seen500-trim	cs-en	32.9	37.5	23.8	25.5	26.1	9.3	27.2	NA
xglm-rand-keywords10-seen500-trim	cs-en	32.8	35.7	22.8	25.9	26.1	9.9	27.7	NA
xglm-rand-keywords10-seen-all-trim	cs-en	33.0	36.0	27.5	25.1	26.7	10.2	27.9	NA
xglm-rand-topic3shot-seen500-trim	cs-en	36.8	39.6	32.5	27.4	25.5	10.6	28.0	NA
xglm-rand-3shot-seen-all-trim	cs-en	5.3	6.3	8.1	3.4	1.9	0.2	1.4	NA
xglm-bm25-3shot-seen-all-trim	cs-en	5.1	3.5	7.2	1.7	1.1	0.1	1.4	NA
xglm-sentsim-3shot-seen-all-trim	cs-en	5.4	6.1	7.8	3.0	1.8	1.6	1.5	NA
xglm-topic1shot-seen500-trim	cs-en	33.7	38.4	27.8	26.1	25.8	10.9	27.5	NA
xglm-topic5shot-seen500-trim	cs-en	38.1	41.1	33.0	27.5	25.6	10.1	27.8	NA
xglm-topic3shot-seen200-trim	cs-en	38.4	38.0	28.2	25.8	25.6	9.6	27.6	33.1
xglm-topic3shot-seen1000-trim	cs-en	38.2	40.4	32.4	26.3	25.9	9.7	27.5	NA
xglm-bm25-3shot-langs-trim	cs-en	44.7	44.7	38.7	26.6	28.9	16.9	30.0	NA
xglm-sentsim-3shot-langs-trim	cs-en	45.2	43.2	36.8	26.7	28.2	16.4	30.0	NA
xglm-topic3shot-lang500-trim	cs-en	38.2	40.3	31.0	26.5	27.8	14.0	28.7	NA
xglm-topic3shot-domain200-trim	cs-en	39.8	39.6	33.5	27.3	28.1	15.0	29.9	NA
xglm-domain3shot-all-trim	cs-en	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	cs-en	33.8	37.1	30.6	27.1	27.2	NA	28.5	NA
xglm-rand-topic3shot-seen200-trim	cs-en	33.4	35.5	26.4	23.6	24.3	9.5	26.5	NA
