lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	75.5	81.0	68.7	68.3	70.2	64.4	74.7	NA
en-de	73.7	77.5	69.1	69.6	71.9	64.9	77.3	NA
en-fi	75.4	79.1	67.6	70.7	73.6	NA	78.2	NA
en-fr	76.2	80.1	69.6	71.0	73.2	64.5	79.3	NA
en-lt	48.8	45.3	56.3	47.9	43.4	NA	43.0	NA
en-ro	74.9	82.5	67.4	69.8	73.0	66.3	78.2	NA
en-ta	NA	NA	47.0	47.4	41.3	33.8	40.8	NA
cs-en	79.2	80.8	70.3	72.1	75.0	66.4	78.5	NA
fr-en	78.3	82.7	72.7	74.2	77.4	71.0	81.4	NA
lt-en	67.9	68.7	57.5	55.5	58.3	NA	60.9	NA
ro-en	78.1	82.3	70.0	74.0	76.5	66.5	81.2	NA
mean	72.8	76.0	65.1	65.5	66.7	62.2	70.3	NA
