modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base	en-cs	30.0	62.0	23.0	76.8	70.8	66.2	79.2	36.6
xglm-label	en-cs	72.6	85.4	52.0	88.4	82.0	93.0	93.0	51.2
xglm-keywords10-seen500	en-cs	82.2	83.4	52.8	85.4	88.2	88.0	95.8	NA
xglm-topic3shot-seen500	en-cs	95.4	97.6	91.4	91.8	94.2	98.0	97.6	NA
xglm-rand-label	en-cs	68.8	83.4	54.8	87.0	81.8	95.2	93.4	55.0
verbose-base	en-cs	95.0	98.8	89.8	93.0	96.0	97.8	98.2	88.6
xglm-keywords30-seen500	en-cs	79.2	83.6	46.8	82.8	87.2	84.6	95.2	NA
xglm-rand-keywords10-seen500	en-cs	77.2	83.2	47.8	89.4	86.0	85.8	96.0	NA
xglm-rand-keywords10-seen-all	en-cs	74.6	83.4	51.4	87.8	86.8	87.4	96.8	NA
xglm-rand-topic3shot-seen500	en-cs	95.4	97.6	91.4	91.8	94.2	98.0	97.6	NA
xglm-rand-3shot-seen-all	en-cs	83.6	91.0	73.4	84.2	88.6	93.4	90.2	NA
xglm-bm25-3shot-seen-all	en-cs	74.2	83.2	66.8	68.6	76.2	86.4	75.4	NA
xglm-sentsim-3shot-seen-all	en-cs	69.8	86.6	72.2	78.2	85.0	90.6	84.6	NA
xglm-topic1shot-seen500	en-cs	89.2	96.2	85.2	87.6	91.8	95.4	95.8	NA
xglm-topic5shot-seen500	en-cs	93.8	98.6	90.6	93.4	96.0	98.4	97.6	NA
xglm-topic3shot-seen200	en-cs	93.8	83.2	86.6	92.4	94.2	98.4	98.4	84.6
xglm-topic3shot-seen1000	en-cs	94.6	98.6	89.2	92.6	93.8	98.6	97.4	NA
xglm-bm25-3shot-langs	en-cs	97.8	99.0	94.4	92.8	97.6	99.4	99.2	NA
xglm-sentsim-3shot-langs	en-cs	97.8	99.2	95.0	95.4	97.2	98.4	99.4	NA
xglm-topic3shot-lang500	en-cs	97.6	99.4	91.6	93.8	96.8	98.6	98.4	NA
xglm-topic3shot-domain200	en-cs	93.4	98.2	87.4	93.8	93.8	96.8	98.2	NA
xglm-domain3shot-all	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs	en-cs	97.2	99.0	92.4	93.8	96.8	98.4	99.0	NA
xglm-rand-topic3shot-seen200	en-cs	NA	NA	NA	NA	NA	NA	NA	85.2
xglm-base	en-de	57.2	58.4	40.6	92.0	86.0	87.6	88.6	59.6
xglm-label	en-de	80.8	84.8	67.0	97.2	93.4	92.6	96.4	73.4
xglm-keywords10-seen500	en-de	74.8	73.4	56.2	96.8	90.8	83.4	97.2	NA
