lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.2	26.1	12.6	6.9	13.4	16.3	14.3	NA
en-de	18.6	30.5	13.5	7.9	14.5	19.3	16.3	NA
en-fi	14.4	19.7	9.0	7.2	11.8	NA	12.5	NA
en-fr	19.7	32.5	18.4	8.8	16.2	19.7	18.0	NA
en-lt	18.2	31.2	7.8	8.6	23.2	NA	23.2	NA
en-ro	18.7	28.3	9.0	8.2	14.2	17.3	16.4	NA
en-ta	NA	NA	9.4	9.9	24.3	21.7	16.5	NA
cs-en	18.2	30.5	7.6	7.5	12.8	22.6	15.9	NA
fr-en	16.8	29.6	15.7	7.7	14.2	17.7	16.5	NA
lt-en	16.6	31.6	7.9	6.6	15.0	NA	16.4	NA
ro-en	18.0	29.6	8.2	7.8	13.9	17.8	15.8	NA
mean	17.5	29.0	10.8	7.9	15.8	19.1	16.5	NA
