modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-ta	NA	NA	39.5	46.9	35.9	28.9	37.9	38.7
xglm-label-trim	en-ta	NA	NA	49.3	47.9	38.5	29.3	39.6	43.4
xglm-keywords10-seen500-trim	en-ta	NA	NA	46.1	47.1	37.3	30.8	37.9	NA
xglm-topic3shot-seen500-trim	en-ta	NA	NA	51.8	48.7	36.5	31.3	39.4	NA
xglm-rand-label-trim	en-ta	NA	NA	47.9	47.4	38.4	30.1	39.3	42.7
verbose-base-trim	en-ta	NA	NA	48.9	46.1	36.1	32.2	38.7	41.0
xglm-keywords30-seen500-trim	en-ta	NA	NA	45.5	46.0	36.8	30.3	38.1	NA
xglm-rand-keywords10-seen500-trim	en-ta	NA	NA	45.7	47.3	37.9	30.5	38.3	NA
xglm-rand-keywords10-seen-all-trim	en-ta	NA	NA	46.1	47.5	37.9	30.3	37.8	NA
xglm-rand-topic3shot-seen500-trim	en-ta	NA	NA	51.7	48.7	36.7	31.3	39.5	NA
xglm-rand-3shot-seen-all-trim	en-ta	NA	NA	51.5	48.7	39.5	31.2	39.7	NA
xglm-bm25-3shot-seen-all-trim	en-ta	NA	NA	51.5	48.8	39.1	31.6	40.2	NA
xglm-sentsim-3shot-seen-all-trim	en-ta	NA	NA	52.9	49.8	39.2	33.2	40.2	NA
xglm-topic1shot-seen500-trim	en-ta	NA	NA	49.6	47.9	36.1	30.2	39.0	NA
xglm-topic5shot-seen500-trim	en-ta	NA	NA	51.4	49.1	37.2	31.6	39.0	NA
xglm-topic3shot-seen200-trim	en-ta	NA	NA	51.2	48.4	37.2	30.7	38.8	43.1
xglm-topic3shot-seen1000-trim	en-ta	NA	NA	51.6	48.5	36.7	30.9	38.4	NA
xglm-bm25-3shot-langs-trim	en-ta	NA	NA	63.3	58.0	52.0	60.4	48.6	NA
xglm-sentsim-3shot-langs-trim	en-ta	NA	NA	52.7	56.0	45.3	36.2	39.0	NA
xglm-topic3shot-lang500-trim	en-ta	NA	NA	53.2	48.9	42.3	33.7	39.7	NA
xglm-topic3shot-domain200-trim	en-ta	NA	NA	51.8	49.0	40.0	31.4	40.2	NA
xglm-domain3shot-all-trim	en-ta	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-ta	NA	NA	51.3	48.0	38.0	31.2	38.3	NA
xglm-rand-topic3shot-seen200-trim	en-ta	NA	NA	49.7	47.6	36.2	30.8	38.7	43.0
