lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.7	18.6	15.6	7.6	10.7	4.0	13.0	17.6
en-de	22.2	24.0	18.2	14.8	19.8	11.6	20.9	24.8
en-fi	11.2	7.4	14.0	5.2	10.4	NA	10.8	13.9
en-fr	28.1	33.3	32.8	17.7	25.6	11.3	27.3	33.3
en-lt	3.9	4.2	5.0	0.8	1.1	NA	1.2	6.0
en-ro	20.7	21.2	17.0	12.2	15.3	4.5	19.1	22.6
en-ta	NA	NA	0.6	0.5	0.4	0.0	0.2	1.7
cs-en	20.6	25.6	14.5	13.6	16.6	7.3	19.1	NA
fr-en	33.1	37.6	31.6	22.9	31.2	15.2	31.2	NA
lt-en	10.7	13.6	7.4	4.9	8.3	NA	9.0	NA
ro-en	33.4	34.9	21.7	24.9	27.3	10.7	32.6	NA
mean	20.0	22.0	16.2	11.4	15.2	8.1	16.8	17.1
