modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	cs-en	19.2	31.5	9.9	7.6	13.5	24.3	15.9	16.6
xglm-label-trim	cs-en	18.2	29.7	7.0	7.6	12.7	23.0	15.8	NA
xglm-keywords10-seen500-trim	cs-en	18.4	31.2	8.9	7.7	12.9	22.6	15.9	NA
xglm-topic3shot-seen500-trim	cs-en	18.1	30.4	7.1	7.4	12.7	21.7	15.8	NA
xglm-rand-label-trim	cs-en	18.1	29.9	7.2	7.5	12.8	24.1	15.8	NA
verbose-base-trim	cs-en	26.4	40.2	11.7	11.5	19.3	30.4	22.4	NA
xglm-keywords30-seen500-trim	cs-en	18.7	30.9	8.6	7.6	12.9	23.9	16.0	NA
xglm-rand-keywords10-seen500-trim	cs-en	18.4	31.3	8.8	7.6	13.2	23.6	16.3	NA
xglm-rand-keywords10-seen-all-trim	cs-en	18.3	30.8	7.6	7.6	13.0	23.5	16.0	NA
xglm-rand-topic3shot-seen500-trim	cs-en	17.9	30.4	7.1	7.4	12.7	21.7	15.8	NA
xglm-rand-3shot-seen-all-trim	cs-en	16.2	24.9	6.3	6.5	11.1	17.1	13.8	NA
xglm-bm25-3shot-seen-all-trim	cs-en	16.2	24.5	6.3	6.5	11.1	17.0	13.8	NA
xglm-sentsim-3shot-seen-all-trim	cs-en	16.2	24.9	6.4	6.5	11.1	18.7	13.8	NA
xglm-topic1shot-seen500-trim	cs-en	17.8	30.1	7.8	7.6	13.1	21.6	15.9	NA
xglm-topic5shot-seen500-trim	cs-en	17.6	30.0	7.2	7.5	12.7	22.5	15.8	NA
xglm-topic3shot-seen200-trim	cs-en	17.8	29.8	7.9	7.4	12.6	22.1	15.8	15.8
xglm-topic3shot-seen1000-trim	cs-en	17.9	30.1	7.3	7.4	12.7	23.0	15.7	NA
xglm-bm25-3shot-langs-trim	cs-en	17.6	29.9	7.1	7.5	12.9	22.2	15.9	NA
xglm-sentsim-3shot-langs-trim	cs-en	17.3	29.3	7.1	7.6	12.9	22.2	16.4	NA
xglm-topic3shot-lang500-trim	cs-en	17.4	29.7	7.4	7.6	13.0	22.2	15.8	NA
xglm-topic3shot-domain200-trim	cs-en	17.6	30.5	7.1	7.5	12.8	22.4	15.9	NA
xglm-domain3shot-all-trim	cs-en	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	cs-en	18.0	30.4	7.4	7.5	12.9	NA	15.9	NA
xglm-rand-topic3shot-seen200-trim	cs-en	17.9	29.4	7.7	7.4	12.7	NA	15.8	NA
