modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-de	18.5	20.2	16.0	18.2	19.6	11.1	21.0	23.9
xglm-label-trim	en-de	22.8	25.5	19.0	18.7	22.1	12.5	21.7	27.5
xglm-keywords10-seen500-trim	en-de	23.7	26.4	18.7	18.4	21.6	12.3	22.4	NA
xglm-topic3shot-seen500-trim	en-de	25.9	27.0	21.7	19.1	23.4	11.9	24.0	NA
xglm-rand-label-trim	en-de	22.1	25.5	18.1	18.1	21.1	12.3	22.4	28.1
verbose-base-trim	en-de	22.2	24.0	18.2	14.8	19.8	11.6	20.9	24.8
xglm-keywords30-seen500-trim	en-de	22.9	26.4	19.4	18.5	23.5	12.1	23.1	NA
xglm-rand-keywords10-seen500-trim	en-de	22.1	26.3	18.4	18.6	22.3	12.0	22.1	NA
xglm-rand-keywords10-seen-all-trim	en-de	23.5	26.3	20.2	18.5	22.5	12.3	22.2	NA
xglm-rand-topic3shot-seen500-trim	en-de	25.9	27.1	21.7	19.0	23.4	12.0	23.9	NA
xglm-rand-3shot-seen-all-trim	en-de	23.0	25.8	19.3	18.1	21.6	11.8	23.3	NA
xglm-bm25-3shot-seen-all-trim	en-de	23.7	25.5	19.9	15.9	21.3	11.7	22.1	NA
xglm-sentsim-3shot-seen-all-trim	en-de	24.3	27.0	20.4	17.4	20.9	11.5	21.8	NA
xglm-topic1shot-seen500-trim	en-de	24.7	25.7	20.7	17.6	21.2	11.3	22.0	NA
xglm-topic5shot-seen500-trim	en-de	26.6	27.7	22.4	19.0	23.5	12.2	23.9	NA
xglm-topic3shot-seen200-trim	en-de	25.8	26.0	22.4	18.3	22.9	11.7	22.7	30.5
xglm-topic3shot-seen1000-trim	en-de	26.0	27.1	21.3	17.4	23.0	12.0	22.8	NA
xglm-bm25-3shot-langs-trim	en-de	34.0	35.3	26.4	18.8	23.2	23.1	23.5	NA
xglm-sentsim-3shot-langs-trim	en-de	30.6	32.8	24.9	17.8	24.8	23.2	23.0	NA
xglm-topic3shot-lang500-trim	en-de	26.9	27.4	23.0	18.4	23.4	13.1	23.8	NA
xglm-topic3shot-domain200-trim	en-de	26.3	26.8	21.7	18.5	23.7	12.8	23.4	NA
xglm-domain3shot-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-de	26.3	27.1	22.2	18.9	23.1	12.1	23.3	NA
xglm-rand-topic3shot-seen200-trim	en-de	25.4	26.7	21.5	17.6	22.5	12.1	23.2	30.6
