modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-ta	NA	NA	51.0	79.4	43.4	87.4	79.8	60.6
xglm-label-trim	en-ta	NA	NA	49.4	93.0	62.4	96.2	97.6	71.0
xglm-keywords10-seen500-trim	en-ta	NA	NA	80.8	95.4	69.2	98.2	97.6	NA
xglm-topic3shot-seen500-trim	en-ta	NA	NA	95.8	98.0	95.4	99.8	98.8	NA
xglm-rand-label-trim	en-ta	NA	NA	56.2	94.2	60.4	96.6	93.0	76.4
verbose-base-trim	en-ta	NA	NA	85.6	92.0	95.6	93.6	94.6	87.6
xglm-keywords30-seen500-trim	en-ta	NA	NA	81.8	94.8	68.0	98.4	96.6	NA
xglm-rand-keywords10-seen500-trim	en-ta	NA	NA	78.6	95.6	72.0	97.6	96.6	NA
xglm-rand-keywords10-seen-all-trim	en-ta	NA	NA	75.8	94.0	70.4	97.6	95.4	NA
xglm-rand-topic3shot-seen500-trim	en-ta	NA	NA	95.6	98.0	95.4	99.8	99.0	NA
xglm-rand-3shot-seen-all-trim	en-ta	NA	NA	76.4	94.0	72.8	94.8	93.6	NA
xglm-bm25-3shot-seen-all-trim	en-ta	NA	NA	69.0	80.2	59.2	83.6	85.0	NA
xglm-sentsim-3shot-seen-all-trim	en-ta	NA	NA	80.2	90.8	72.8	90.4	93.4	NA
xglm-topic1shot-seen500-trim	en-ta	NA	NA	92.8	93.2	90.0	98.8	97.0	NA
xglm-topic5shot-seen500-trim	en-ta	NA	NA	93.6	97.4	95.2	99.4	99.6	NA
xglm-topic3shot-seen200-trim	en-ta	NA	NA	90.8	97.8	94.8	99.4	98.4	93.6
xglm-topic3shot-seen1000-trim	en-ta	NA	NA	96.2	97.2	95.6	99.2	98.8	NA
xglm-bm25-3shot-langs-trim	en-ta	NA	NA	97.4	98.8	96.6	100.0	99.8	NA
xglm-sentsim-3shot-langs-trim	en-ta	NA	NA	92.4	98.0	96.0	99.8	97.8	NA
xglm-topic3shot-lang500-trim	en-ta	NA	NA	96.0	98.4	99.2	99.4	99.6	NA
xglm-topic3shot-domain200-trim	en-ta	NA	NA	94.8	97.4	90.0	99.2	99.4	NA
xglm-domain3shot-all-trim	en-ta	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-ta	NA	NA	96.4	98.4	98.4	99.8	99.4	NA
xglm-rand-topic3shot-seen200-trim	en-ta	NA	NA	91.8	98.4	94.8	99.2	99.6	95.0
