lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	77.8	82.5	75.7	73.6	74.0	66.3	76.6	NA
en-de	77.2	80.6	75.4	75.6	77.4	70.1	80.2	NA
en-fi	76.0	79.0	73.2	75.2	77.6	NA	80.2	NA
en-fr	80.0	83.7	75.2	75.3	77.6	69.6	81.2	NA
en-lt	49.5	45.1	60.9	52.4	46.3	NA	43.6	NA
en-ro	76.6	84.4	73.7	75.9	76.4	65.9	79.9	NA
en-ta	NA	NA	46.1	47.7	37.2	29.4	38.8	NA
cs-en	83.0	82.4	79.1	77.5	79.2	NA	81.7	NA
fr-en	83.1	85.0	79.8	79.2	81.6	NA	85.2	NA
lt-en	66.9	64.9	62.2	56.7	59.3	NA	61.7	NA
ro-en	82.2	84.0	78.2	79.3	80.6	NA	84.3	NA
mean	75.2	77.2	70.9	69.9	69.7	60.3	72.1	NA
