lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	14.8	24.3	6.0	7.2	11.5	16.6	14.5	NA
en-de	15.2	26.4	11.0	7.8	14.1	16.7	16.3	NA
en-fi	12.6	17.7	5.2	6.7	10.6	NA	12.0	NA
en-fr	18.1	29.0	14.6	8.6	16.0	17.6	17.9	NA
en-lt	16.7	27.8	5.7	9.6	21.5	NA	23.1	NA
en-ro	17.6	27.2	7.1	7.6	13.9	17.6	16.0	NA
en-ta	NA	NA	8.7	9.5	22.6	21.6	17.4	NA
cs-en	18.4	29.9	7.4	7.5	12.8	NA	15.9	NA
fr-en	16.6	29.6	14.6	7.7	14.4	NA	16.5	NA
lt-en	18.0	30.8	7.8	6.5	15.5	NA	15.6	NA
ro-en	18.1	29.7	7.5	7.9	13.9	NA	15.8	NA
mean	16.6	27.2	8.7	7.9	15.2	18.0	16.5	NA
