lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.0	20.4	19.3	9.7	11.6	4.3	10.9	NA
en-de	23.7	25.5	19.9	15.9	21.3	11.7	22.1	NA
en-fi	10.8	7.6	19.4	6.7	9.0	NA	12.3	NA
en-fr	29.2	35.1	32.8	21.7	29.2	12.1	29.8	NA
en-lt	4.9	4.4	6.9	0.7	1.3	NA	1.5	NA
en-ro	20.2	22.4	20.2	15.0	16.2	4.9	20.6	NA
en-ta	NA	NA	1.4	0.9	1.1	0.0	0.2	NA
cs-en	5.1	3.5	7.2	1.7	1.1	0.1	1.4	NA
fr-en	5.7	5.2	6.4	1.9	2.0	0.1	1.6	NA
lt-en	4.4	3.6	5.1	1.0	0.9	NA	0.9	NA
ro-en	5.2	4.3	5.9	3.5	2.1	0.1	2.0	NA
mean	12.4	13.2	13.1	7.2	8.7	4.2	9.4	NA
