lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	85.1	87.3	83.2	74.9	77.6	72.7	79.2	NA
en-de	81.5	84.0	79.8	75.8	76.9	73.4	80.3	NA
en-fi	83.2	87.4	81.7	77.9	80.9	NA	82.8	NA
en-fr	82.4	87.0	79.1	75.9	77.9	75.6	81.5	NA
en-lt	66.1	58.0	73.0	57.6	54.6	NA	52.3	NA
en-ro	83.7	87.7	80.4	77.2	78.1	75.2	82.3	NA
en-ta	NA	NA	63.3	58.0	52.0	60.4	48.6	NA
cs-en	84.8	85.0	84.6	77.9	80.3	69.3	82.8	NA
fr-en	84.6	86.8	84.3	79.6	81.8	72.4	85.2	NA
lt-en	77.0	75.3	74.9	61.8	65.8	NA	67.9	NA
ro-en	83.9	86.2	82.8	80.3	81.2	69.3	85.5	NA
mean	81.2	82.5	78.8	72.4	73.4	71.0	75.3	NA
