modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	ro-en	19.0	31.5	9.7	8.0	14.1	16.8	16.0	19.2
xglm-label-trim	ro-en	17.9	29.4	7.1	7.9	13.9	17.2	15.8	NA
xglm-keywords10-seen500-trim	ro-en	18.2	29.7	7.8	8.0	14.1	17.5	15.9	NA
xglm-topic3shot-seen500-trim	ro-en	17.9	29.5	7.3	7.8	13.9	16.7	15.8	NA
xglm-rand-label-trim	ro-en	18.1	29.4	7.5	7.9	14.0	16.5	15.8	NA
verbose-base-trim	ro-en	18.5	30.3	7.8	8.2	14.8	17.7	16.4	NA
xglm-keywords30-seen500-trim	ro-en	18.1	30.4	9.1	8.2	13.9	17.6	16.0	NA
xglm-rand-keywords10-seen500-trim	ro-en	18.2	29.9	7.8	8.0	14.1	16.4	16.0	NA
xglm-rand-keywords10-seen-all-trim	ro-en	18.3	29.6	8.1	8.0	14.1	16.8	15.9	NA
xglm-rand-topic3shot-seen500-trim	ro-en	17.9	29.5	7.3	7.8	13.9	16.7	15.8	NA
xglm-rand-3shot-seen-all-trim	ro-en	18.7	27.4	7.3	7.7	13.8	15.8	15.5	NA
xglm-bm25-3shot-seen-all-trim	ro-en	18.7	27.3	7.2	7.7	13.8	15.8	15.6	NA
xglm-sentsim-3shot-seen-all-trim	ro-en	18.7	27.4	7.2	7.7	13.9	16.2	15.5	NA
xglm-topic1shot-seen500-trim	ro-en	17.4	29.4	7.3	7.9	14.0	16.9	15.8	NA
xglm-topic5shot-seen500-trim	ro-en	17.7	29.5	7.2	7.8	13.9	16.8	15.7	NA
xglm-topic3shot-seen200-trim	ro-en	18.2	29.4	8.7	7.9	13.8	16.7	15.7	17.4
xglm-topic3shot-seen1000-trim	ro-en	17.8	29.7	7.3	7.8	13.9	16.7	15.7	NA
xglm-bm25-3shot-langs-trim	ro-en	17.7	29.6	7.0	7.9	14.0	18.5	15.8	NA
xglm-sentsim-3shot-langs-trim	ro-en	17.7	29.5	7.6	8.0	14.1	18.7	15.9	NA
xglm-topic3shot-lang500-trim	ro-en	17.7	29.5	7.2	7.8	13.9	19.0	15.8	NA
xglm-topic3shot-domain200-trim	ro-en	17.9	29.6	7.1	7.8	13.9	17.7	15.8	NA
xglm-domain3shot-all-trim	ro-en	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	ro-en	18.0	29.2	7.4	7.9	13.9	NA	15.8	NA
xglm-rand-topic3shot-seen200-trim	ro-en	17.6	28.8	9.0	8.0	13.8	NA	15.6	NA
