lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	76.5	81.9	72.0	68.8	71.7	65.8	75.0	NA
en-de	74.7	79.0	69.5	70.6	73.4	69.4	77.4	NA
en-fi	77.1	77.4	69.2	71.0	75.5	NA	78.8	NA
en-fr	77.2	82.2	70.8	71.8	74.5	70.2	79.0	NA
en-lt	47.4	44.9	57.0	48.0	44.3	NA	43.7	NA
en-ro	75.8	82.8	68.5	72.1	73.8	67.4	78.1	NA
en-ta	NA	NA	46.9	46.4	39.3	33.5	39.1	NA
cs-en	78.6	80.2	69.6	72.3	74.7	NA	78.3	NA
fr-en	78.2	82.1	72.3	73.7	77.3	NA	81.2	NA
lt-en	64.1	66.2	56.6	55.6	58.7	NA	61.6	NA
ro-en	78.0	81.3	69.4	74.7	76.8	NA	80.8	NA
mean	72.8	75.8	65.6	65.9	67.3	61.3	70.3	NA
